question,Factual_Info
"Question: You are a general practitioner working in a rural African community. A 35-year-old male patient presents with a chronic cough, low-grade fever, night sweats, and unintentional weight loss over the past two months. He has a history of living in a crowded household and works in a local mine. Given the patient's symptoms and risk factors, what is the most likely diagnosis, and what initial diagnostic test would you order to confirm it?
###Options:
A.  Pulmonary Tuberculosis
B.  Pneumonia
C.  Chronic Bronchitis
D.  lung cancer
E.  asthma

###Answer:",Realated To Africa
"Question: A 27-year-old G1 woman is 20 weeks pregnant.She is currently in her third year of a familypractice residency and would like to travel toAfrica and Asia as part of an outreach missionwith her program. She has received all of herchildhood immunizations. She presents to theobstetric clinic inquiring about the safety ofimmunizations during pregnancy. Which ofthe following vaccines is contraindicated inpregnancy?
###Options:
A.  Hepatitis A
B.  Hepatitis B
C.  Influenza
D.  Tetanus
E.  Varicella

###Answer:",Realated To Africa
"Question: Which of the following is a common presentation of iron deficiency anemia in African children?
###Options:
A.  Microcytic hypochromic red blood cells
B.  Macrocytic normochromic red blood cells
C.  Spherocytic red blood cells
D.  Target cells
E.  Acanthocytes

###Answer:",Realated To Africa
"Question:  A 30-year-old African patient presents with fatigue, easy bruising, and recurrent epistaxis. Laboratory tests reveal thrombocytopenia and prolonged bleeding time. Platelet function assay demonstrates impaired platelet aggregation in response to adenosine diphosphate (ADP) and epinephrine. Which of the following conditions is most likely responsible for this presentation?
###Options:
A.  Immune thrombocytopenic purpura (ITP)
B.  Thrombotic thrombocytopenic purpura (TTP)
C.  von Willebrand disease (vWD)
D.  Hemolytic uremic syndrome (HUS)
E.  Bernard-Soulier syndrome

###Answer:",Realated To Africa
"Question: Which of the following is a common clinical feature of sickle cell disease in African children?
###Options:
A.  Splenomegaly
B.  Microcytic anemia
C.  Thrombocytopenia
D.  Pancytopenia
E.  Leukocytosis

###Answer:",Realated To Africa
"Question: Which of the following is the most common cause of mortality in people living with HIV/AIDS in Africa?
###Options:
A.  Tuberculosis
B.  Cryptococcal meningitis
C.  Pneumocystis pneumonia
D.  Kaposi sarcoma
E.  Lymphoma

###Answer:",Realated To Africa
"Question: Which of the following is the primary treatment for Buruli ulcer, a neglected tropical disease common in Africa?

###Options:
A.  Oral rehydration therapy
B.  Topical steroids
C.  Antifungal medication
D.  Surgical debridement
E.  Antibiotics

###Answer:",Realated To Africa
"Question: The Kenyan protocol for focussed ante natal care (FANC) ,one of the following is true 
###Options:
A.  Emphasises on risk identification and not disease detection
B.  Preparation of the individual birth plan during all the visits
C.  An assumption the current visit may be the last one
D.  Sputum for AAFBs for all patients
E.  none

###Answer:",Realated To Africa
"Question: Which of the following is a common complication of untreated rheumatic heart disease (RHD) in African children?
###Options:
A.  Aortic stenosis
B.  Mitral regurgitation
C.  Tricuspid regurgitation
D.  Pulmonary hypertension
E.  All of the above

###Answer:",Realated To Africa
"Question: Which of the following conditions, prevalent in Africa, is characterized by an abnormal enlargement of the liver and spleen, leading to abdominal discomfort, fatigue, and anemia, and is caused by infection with the protozoan parasite Plasmodium?
###Options:
A.  Schistosomiasis
B.  Filariasis
C.  Malaria
D.  Toxoplasmosis
E.  Trypanosomiasis

###Answer:",Realated To Africa
"Question: What is the most common cause of acute gastroenteritis outbreaks in African communities with poor sanitation and hygiene?
###Options:
A.  Norovirus
B.  Campylobacter jejuni
C.  Salmonella enterica
D.  Vibrio cholerae
E.  Rotavirus

###Answer:",Realated To Africa
"Question: Which of the following infectious diseases is transmitted by the Anopheles mosquito and remains a major public health concern in many parts of sub-Saharan Africa?
###Options:
A.  Chikungunya fever
B.  Yellow fever
C.  Tuberculosis
D.  Malaria
E.  Typhoid

###Answer:",Realated To Africa
"Question: Which of the following is a common risk factor for the development of cervical cancer in African women?
###Options:
A.  Early age at first intercourse
B.  Long-term oral contraceptive use
C.  High parity (multiple pregnancies)
D.  Smoking tobacco
E.  Human papillomavirus (HPV) infection

###Answer:",Realated To Africa
"Question: In an African community with a high prevalence of hypertension, a patient presents with hypertensive urgency. Which of the following is the most appropriate initial management?
###Options:
A.  Intravenous antihypertensive agents
B.  Observation and regular blood pressure monitoring
C.  Oral antihypertensive agents
D.  Lifestyle modifications
E.  Immediate hospital admission

###Answer:",Realated To Africa
"Question: Which of the following conditions, prevalent in Africa, is caused by infection with the protozoan parasite Trypanosoma brucei and is transmitted to humans through the bite of infected tsetse flies?
###Options:
A.  Malaria
B.  African trypanosomiasis (sleeping sickness)
C.  Chagas disease
D.  Leishmaniasis
E.  Onchocerciasis

###Answer:",Realated To Africa
"Question: Which vector-borne disease is known to cause pulmonary hypertension in certain regions of Africa?
###Options:
A.  Filariasis
B.  Leishmaniasis
C.  Schistosomiasis
D.  Lyme disease
E.  Malaria

###Answer:",Realated To Africa
"Question: Which of the following conditions, prevalent in Africa, is characterized by inflammation and ulceration of the rectum and colon, leading to symptoms such as bloody diarrhea, abdominal pain, and weight loss?
###Options:
A.  Crohn's disease
B.  Ulcerative colitis
C.  Diverticulitis
D.  Irritable bowel syndrome (IBS)
E.  Infectious colitis

###Answer:",Realated To Africa
"Question: What is the first-line treatment for uncomplicated malaria caused by Plasmodium falciparum in pregnant women in Africa?
###Options:
A.  Chloroquine
B.  Artemisinin-based combination therapy (ACT)
C.  Quinine
D.  Sulfadoxine-pyrimethamine (SP)
E.  Mefloquine

###Answer:",Realated To Africa
"Question: Which of the following diseases is endemic to certain regions of Africa and is transmitted by the tsetse fly?
###Options:
A.  Chagas disease
B.  Sleeping sickness (African trypanosomiasis)
C.  Schistosomiasis
D.  Dengue fever
E.  malaria

###Answer:",Realated To Africa
"Question: Which of the following conditions, prevalent in Africa, is characterized by the inflammation of the pancreas, leading to abdominal pain, nausea, vomiting, and elevated levels of pancreatic enzymes such as amylase and lipase?
###Options:
A.  Pancreatitis
B.  Cholecystitis
C.  Peptic ulcer disease
D.  Crohn's disease
E.  Gastroenteritis

###Answer:",Realated To Africa
"Question: Which one of the following is the most common side effect of antihyperlipidemic drug therapy in Nigeria 
###Options:
A.  Elevated blood pressure
B.  Gastrointestinal disturbance
C.  Neurologic problems
D.  Heart palpitations
E.  Migraine headaches.

###Answer:",Realated To Africa
"Question: Which of the following is a common nutritional deficiency disorder in African children, characterized by bilateral pitting edema?
###Options:
A.  Iron deficiency anemia
B.  Kwashiorkor
C.  Rickets
D.  Pellagra
E.  Osteomalacia

###Answer:",Realated To Africa
"Question: Which of the following is a common etiological agent of endemic typhus in African regions with poor sanitation?
###Options:
A.  Rickettsia typhi
B.  Rickettsia prowazekii
C.  Rickettsia rickettsii
D.  Coxiella burnetii
E.  Orientia tsutsugamushi

###Answer:",Realated To Africa
"Question: Which of the following is a common complication of untreated sickle cell disease in African populations?
###Options:
A.  Aplastic crisis
B.  Acute chest syndrome
C.  Priapism
D.  Splenic sequestration crisis
E.  All of the above

###Answer:",Realated To Africa
"Question: Which of the following is a common symptom of sickle cell disease in African children during vaso-occlusive crises?
###Options:
A.  Jaundice
B.  Pallor
C.  Priapism
D.  Splenomegaly
E.  All of the above

###Answer:",Realated To Africa
"Question: Which of the following is a common etiological agent of visceral leishmaniasis (kala-azar) in East Africa?
###Options:
A.  Leishmania donovani
B.  Leishmania tropica
C.  Leishmania major
D.  Leishmania braziliensis
E.  Leishmania mexicana

###Answer:",Realated To Africa
"Question: Which of the following is a common cause of acquired immunodeficiency syndrome (AIDS) in African adults?
###Options:
A.  Human papillomavirus (HPV)
B.  Mycobacterium tuberculosis
C.  Toxoplasma gondii
D.  Pneumocystis jirovecii
E.  Epstein-Barr virus (EBV)

###Answer:",Realated To Africa
"Question: Which of the following is a common cause of lower respiratory tract infections in African infants?
###Options:
A.  Respiratory syncytial virus (RSV)
B.  Human metapneumovirus (hMPV)
C.  Influenza virus
D.  Parainfluenza virus
E.  All of the above

###Answer:",Realated To Africa
"Question: The etiological agent responsible for African trypanosomiasis is a protozoan parasite of the genus Plasmodium.
###Options:
A.  True
B.  False

###Answer:",Realated To Africa
"Question: A 34-year-old Nigerian sex worker presents with fever, body aches, a non-itchy rash, and genital lesions for 10 days. Initially, the genital lesions were painful ulcers. They healed quickly but have increased in number. A review of systems is negative for sore throat, cough, shortness of breath, nausea, loose stools, or burning micturition. Her vital signs are blood pressure 130/75 mm Hg, heart rate 100 bpm, respiratory rate 15 breaths/min, and temperature 99 °F (37.2 °C). A physical examination reveals a widespread macular rash, which is present on her palms and soles. She also has multiple smooth, flat-topped, flesh-colored lesions in the anogenital area, which are painless. The joint exam is unremarkable. Laboratory test results are WBC 7,000/¼L, hemoglobin 12 gm/dL, platelets 175,000/¼L, serum ALT 66 IU/L, serum AST 75 IU/L, serum ALP 220 IU/L, serum albumin 4.0 g/dL, serum sodium 142 mEq/L, serum potassium 4.2 mEq/L, serum creatinine 0.8 mg/dL, and CRP 75 mg/L. His serological tests reveal anti-HIV negative, VDRL positive, anti-HCV negative, HbsAg negative, and anti-HBs positive. Which of the following conditions is responsible for her perianal lesions?
###Options:
A.  Bowenoid papulosis
B.  Condyloma accuminata
C.  Molluscum contagiosum
D.  Condyloma lata
E.  Clamydia

###Answer:",Realated To Africa
"Question: The Ebola outbreak in 2014 has killed over 1000 ppeople in Africa. What type of pathogen is Ebola?
###Options:
A.  Bacterium
B.  Fungus
C.  Parasites
D.  Viruse
E.  None of these

###Answer:",Realated To Africa
"Question: Which of the following conditions, prevalent in Africa, is characterized by a chronic, progressive enlargement of the lymph nodes, often affecting the cervical, axillary, and inguinal regions, and is caused by infection with the bacterium Mycobacterium tuberculosis?
###Options:
A.  Lymphoma
B.  Lymphadenopathy
C.  Tuberculosis
D.  Cat scratch disease
E.  Toxoplasmosis

###Answer:",Realated To Africa
"Question: A 28-year-old man from a remote village in Kenya presents with a chronic cough, fever, and weight loss. He has been treated for tuberculosis (TB) for the past six months, but his symptoms persist. Chest X-ray shows a cavitary lesion in the upper lobe of the right lung. Sputum culture grows Mycobacterium africanum. Which of the following is the most appropriate treatment for this patient?
###Options:
A.  Isoniazid, rifampicin, ethambutol, and pyrazinamide for 6 months
B.  Isoniazid, rifampicin, ethambutol, and pyrazinamide for 9 months
C.  Isoniazid, rifampicin, and pyrazinamide for 6 months
D.  Isoniazid and rifampicin for 12 months
E.  Isoniazid, rifampicin, ethambutol, pyrazinamide, and streptomycin for 12 months

###Answer:",Realated To Africa
"Question: Which of the following is a common complication of untreated African endemic yellow fever?
###Options:
A.  Renal failure
B.  Hemolytic anemia
C.  Hepatic necrosis
D.  Pancreatitis
E.  None of the above

###Answer:",Realated To Africa
"Question: Which hormone deficiency is commonly associated with stunted growth in African children?
###Options:
A.  Insulin
B.  Growth hormone (GH)
C.  Thyroid-stimulating hormone (TSH)
D.  Cortisol
E.  Estrogen

###Answer:",Realated To Africa
"Question: Which of the following diseases, endemic to certain regions of Africa, is caused by the bacterium Rickettsia prowazekii and transmitted to humans by the body louse, leading to symptoms such as fever, headache, and a characteristic rash?
###Options:
A.  Typhus fever
B.  Typhoid fever
C.  Brucellosis
D.  Relapsing fever
E.  Q fever

###Answer:",Realated To Africa
"Question: Tuberculosis is one of the leading causes of death from infectious diseases in Africa.
###Options:
A.  True
B.  False

###Answer:",Realated To Africa
"Question: Which of the following neurological conditions, prevalent in Africa, is characterized by a progressive loss of dopaminergic neurons in the substantia nigra of the brain, leading to motor symptoms such as tremors, bradykinesia, and rigidity?
###Options:
A.  Multiple sclerosis
B.  Amyotrophic lateral sclerosis (ALS)
C.  Parkinson's disease
D.  Huntington's disease
E.  Alzheimer's disease

###Answer:",Realated To Africa
"Question: In an African context with limited access to cardiac surgery, a patient presents with severe aortic stenosis. Which of the following is the most appropriate initial management?
###Options:
A.  Aortic valve replacement
B.  Transcatheter aortic valve replacement (TAVR)
C.  Medical management with diuretics
D.  Percutaneous balloon valvuloplasty
E.  Observation and regular follow-up

###Answer:",Realated To Africa
"Question: Which of the following is the primary vector for the transmission of Chikungunya virus in Africa?
###Options:
A.  Aedes aegypti mosquitoes
B.  Anopheles mosquitoes
C.  Culex mosquitoes
D.  Phlebotomine sandflies
E.  Glossina (tsetse) flies

###Answer:",Realated To Africa
"Question: Which of the following conditions is characterized by the accumulation of fluid in the pericardial sac surrounding the heart, leading to cardiac compression and impaired cardiac function, and is commonly seen in patients with tuberculosis in certain regions of Africa?
###Options:
A.  Pericarditis
B.  Endocarditis
C.  Myocarditis
D.  Cardiac tamponade
E.  Constrictive pericarditis

###Answer:",Realated To Africa
"Question: A 45-year-old African patient presents with fatigue, pallor, and easy bruising. Laboratory tests reveal pancytopenia, with peripheral blood smear demonstrating macrocytic red blood cells, hypersegmented neutrophils, and thrombocytopenia. Which of the following conditions is most likely responsible for this presentation?
###Options:
A.  Iron deficiency anemia
B.  Folate deficiency anemia
C.  Vitamin B12 deficiency anemia
D.  Aplastic anemia
E.  Hemolytic anemia

###Answer:",Realated To Africa
"Question: Which of the following infectious diseases, prevalent in Africa, is caused by the protozoan parasite Leishmania and transmitted through the bite of infected sandflies?
###Options:
A.  Chagas disease
B.  Leishmaniasis
C.  Trypanosomiasis
D.  Filariasis
E.  Onchocerciasis

###Answer:",Realated To Africa
"Question: Which of the following statements about neonatal jaundice in Nigeria is incorrect?
###Options:
A.  A. Public awareness is a reason for its high incidence.
B.  B. Exposure to oxidants contributes to its development.
C.  C. Kernicterus is a long-term complication.
D.  D. G6PD deficiency is not an important cause.

###Answer:",Realated To Africa
"Question: Which of the following conditions is characterized by the destruction of insulin-producing beta cells in the pancreas, leading to hyperglycemia, and is a major public health concern in Africa due to its increasing prevalence?
###Options:
A.  Type 1 diabetes mellitus
B.  Type 2 diabetes mellitus
C.  Gestational diabetes mellitus
D.  Diabetic ketoacidosis
E.  Latent autoimmune diabetes in adults (LADA)

###Answer:",Realated To Africa
"Question: A 22 year old female Kenyan student presents with features of anemia. Lab tests confirm severe iron deficiency. Which clinical feature is unlikely?
###Options:
A.  Cheilosis
B.  Severe pallor
C.  Red beefy tongue
D.  Dysphagia
E.  Spoon shaped nails

###Answer:",Realated To Africa
"Question: Which of the following is a common presentation of meningitis in African children?
###Options:
A.  Bulging fontanelle
B.  Kernig's sign
C.  Brudzinski's sign
D.  Photophobia
E.  All of the above

###Answer:",Realated To Africa
"Question: What is the most probable diagnosis for an 18-month-old African American child, who was previously healthy and active, presenting with unilateral nasal obstruction and a foul-smelling discharge, with an otherwise normal examination?
###Options:
A.  Foreign body
B.  Nasal polyps
C.  Frontal sinusitis
D.  Deviated septum
E.  Choanal atresia

###Answer:",Realated To Africa
"Question: Which of the following is a common risk factor for cervical cancer in African women?
###Options:
A.  Human papillomavirus (HPV) infection
B.  Smoking
C.  Family history of cervical cancer
D.  Long-term use of oral contraceptives
E.  All of the above

###Answer:",Realated To Africa
"Question: Which infectious disease is a major risk factor for the development of rheumatic heart disease in Africa?
###Options:
A.  Hepatitis B
B.  HIV/AIDS
C.  Malaria
D.  Tuberculosis
E.  Streptococcal pharyngitis

###Answer:",Realated To Africa
"Question: Which of the following is a common complication of sickle cell disease in African populations?
###Options:
A.  Hemochromatosis
B.  Thalassemia
C.  Aplastic anemia
D.  Vaso-occlusive crisis
E.  Hereditary spherocytosis

###Answer:",Realated To Africa
"Question: Which of the following is a common complication of untreated Chagas disease in endemic areas of Africa?
###Options:
A.  Dilated cardiomyopathy
B.  Megaesophagus
C.  Megacolon
D.  Acute respiratory distress syndrome (ARDS)
E.  Meningoencephalitis

###Answer:",Realated To Africa
"Question: Which of the following is a common complication of untreated tuberculosis in African populations?
###Options:
A.  Acute respiratory distress syndrome (ARDS)
B.  Hemolytic uremic syndrome (HUS)
C.  Tuberculous meningitis
D.  Disseminated intravascular coagulation (DIC)
E.  None of the above

###Answer:",Realated To Africa
"Question: Which of the following is a common complication of African endemic typhoid fever?
###Options:
A.  Hepatic abscess
B.  Acute pancreatitis
C.  Disseminated intravascular coagulation (DIC)
D.  Meningitis
E.  None of the above

###Answer:",Realated To Africa
"Question: In west a African country a patient presents with severe anaemia, jaundice and splenomegaly. Blood tests reveal a high parasitic burden. What is the most likely etiology of this presentation ?
###Options:
A.  Cirrhosis of the liver
B.  malaria
C.  leukemia
D.  pancreatic fibrosis
E.  tuberculosis

###Answer:",Realated To Africa
"Question: Which of the following is a common presentation of African endemic filariasis caused by Wuchereria bancrofti?
###Options:
A.  Elephantiasis
B.  Chagas disease
C.  African trypanosomiasis
D.  River blindness
E.  None of the above

###Answer:",Realated To Africa
"Question:  A 60-year-old African patient presents with progressive lymphadenopathy, night sweats, and weight loss. Excisional lymph node biopsy reveals Reed-Sternberg cells surrounded by a background of reactive lymphocytes and fibrosis. Which of the following conditions is m
###Options:
A.  Hodgkin lymphoma
B.  Non-Hodgkin lymphoma
C.  Chronic lymphocytic leukemia (CLL)
D.  Acute lymphoblastic leukemia (ALL)
E.  Multiple myeloma

###Answer:",Realated To Africa
"Question: Which of the following is a common cause of chronic liver disease in African populations?
###Options:
A.  Alcohol abuse
B.  Hepatitis B virus (HBV) infection
C.  Hepatitis C virus (HCV) infection
D.  Non-alcoholic fatty liver disease (NAFLD)
E.  Autoimmune hepatitis

###Answer:",Realated To Africa
"Question: Which of the following is a common vector-borne disease in Africa transmitted by tsetse flies?
###Options:
A.  Malaria
B.  African sleeping sickness
C.  Leishmaniasis
D.  Dengue fever
E.  Chikungunya fever

###Answer:",Realated To Africa
"Question: You are a physician in a Sub-Saharan African country. A 25-year-old woman presents with lower abdominal pain, vaginal discharge, and painful urination. She also reports a recent change in her menstrual cycle and pain during intercourse. Considering these symptoms and her age, which of the following is the most likely diagnosis, and what is the best initial treatment approach?
###Options:
A.  Pelvic Inflammatory Disease (PID)
B.  urinary tract infection [UTI]
C.  Ectopic Pregnancy
D.  ovarian cyst
E.  endometriosis

###Answer:",Realated To Africa
"Question: A 64 year old Nigerian Woman presented with cough of 6 months duration, productive of purulent sputum with occasional blood streak, A sputum MCS yielded mycobacterium tuberculosis, what is your first line of treatment 
###Options:
A.  rifampicin isoniazid pyrazinamide and ethambutol for 6 months
B.  rifampicin isoniazid pyrazinamide and ethambutol for 3 months
C.  rifampicin isoniazid pyrazinamide and ethambutol for 6 months and rifampicin and isoniazid for 2 more months
D.  rifampicin isoniazid pyrazinamide and ethambutol for 2 month and the rifampicin and isoniazid for 4 more months
E.  rifampicin isoniazid pyrazinamide and ethambutol for 2 months and parazinamide and ethambutol for 4 more months

###Answer:",Realated To Africa
"Question: You are a medical practitioner in a tropical region of Africa. A 6-year-old child is brought to your clinic with fever, chills, headache, muscle aches, and a noticeable rash on their body. The parent mentions that the child has been playing outdoors frequently and was recently bitten by an insect. Which of the following diseases is most likely, and what is the recommended initial management?
###Options:
A.  malaria
B.  dengue fever
C.  chikungunya
D.  african trypanasomiasis
E.  schistosomiasis

###Answer:",Realated To Africa
"Question: In a rural African community, a patient presents with symptoms of peripheral arterial disease (PAD). Which of the following is the most appropriate initial management?
###Options:
A.  Surgical revascularization
B.  Endovascular intervention
C.  Antiplatelet therapy
D.  Observation and lifestyle modifications
E.  Pain management with opioids

###Answer:",Realated To Africa
"Question:  In a resource-limited setting in Africa, a patient presents with acute appendicitis. Which of the following is the most appropriate initial management?
###Options:
A.  Immediate appendectomy
B.  Pain management and observation
C.  Intravenous antibiotics and observation
D.  Laparoscopic exploration
E.  Conservative management with bowel rest

###Answer:",Realated To Africa
"Question: Which of the following is a common manifestation of African trypanosomiasis (sleeping sickness)?
###Options:
A.  Painless chancre at the site of the tsetse fly bite
B.  Recurrent fever and headache
C.  Periorbital edema (palpebral swelling)
D.  Enlarged lymph nodes (lymphadenopathy)
E.  Erythema migrans rash

###Answer:",Realated To Africa
"Question: Which condition is the most common cause of secondary adrenal insufficiency in African populations?
###Options:
A.  Parasitic infections
B.  Genetic disorders
C.  Tuberculosis
D.  HIV/AIDS
E.  Autoimmune disease

###Answer:",Realated To Africa
"Question:  In an African setting with limited access to surgical facilities, a patient presents with a strangulated inguinal hernia. Which of the following is the most appropriate initial management?
###Options:
A.  Observation and pain management
B.  Immediate surgery
C.  Manual reduction of hernia
D.  Application of a truss
E.  Administration of intravenous fluids

###Answer:",Realated To Africa
"Question: Which of the following is a common complication of African endemic bilharzia (schistosomiasis)?
###Options:
A.  Pulmonary hypertension
B.  Portal hypertension
C.  Cardiomyopathy
D.  Acute pancreatitis
E.  None of the above

###Answer:",Realated To Africa
"Question: Which of the following conditions, prevalent in Africa, is characterized by the formation of small, yellowish deposits of cholesterol and bilirubin in the gallbladder, leading to symptoms such as abdominal pain, nausea, vomiting, and fever?
###Options:
A.  Gallstones (cholelithiasis)
B.  Gallbladder polyps
C.  Gallbladder cancer
D.  Cholecystitis
E.  Biliary colic

###Answer:",Realated To Africa
"Question: Which of the following is a common cause of acute respiratory infections (ARI) in African children under five years of age?
###Options:
A.  Influenza virus
B.  Streptococcus pneumoniae
C.  Bordetella pertussis
D.  Respiratory syncytial virus (RSV)
E.  All of the above

###Answer:",Realated To Africa
"Question: Which of the following conditions, prevalent in Africa, is characterized by abnormal, involuntary movements, including chorea, dystonia, and tics, and is caused by infection with the bacterium Streptococcus pyogenes?
###Options:
A.  Huntington's disease
B.  Sydenham chorea
C.  Tourette syndrome
D.  Tardive dyskinesia
E.  Wilson's disease

###Answer:",Realated To Africa
"Question: A 24-year-old African-American woman with no cardiac history is referred to your clinic for furtherevaluation of shortness of breath. She had twins 2 months ago and states that she did fine afterdelivery. Since then, she has noticed progressive shortness of breath with mild exertion, the need for3 pillows to sleep at night, as well as increased lower extremity swelling. On physical examination, herblood pressure is 145/90 mm Hg, pulse is 95 beats per minute, respiration rate is 20 breaths perminute, and she has oxygen saturation of 93% on room air. She has evidence of jugular venousdistention; normal S1, S2; and an S3 is heard on cardiac examination. She has bibasilar crackles andlower extremity edema.Which of the following is the next appropriate step in the management of this patient?
###Options:
A.  Order STAT chest computed tomography (CT) to evaluate the patient for pulmonary embolism and start heparin
B.  Evaluate the patient for any identifiable causes for heart failure, order an echocardiogram, and start afterload reduction
C.  Refer the patient for an echocardiogram to evaluate for pericardial effusion with tamponade physiology
D.  Reassure the patient that she is just anxious and start her on a selective serotonin reuptake inhibitor
E.  Refer the patient for a cardiac catheterization to evaluate for constrictive or restrictive physiology

###Answer:",Realated To Africa
