question,Factual_Info
"Question: A 25-year-old man presents with a 6-month history of fatigue, poor appetite, intermittent abdominal pain, diarrhea, and rectal bleeding. He has no significant medical history. His family history is significant for inflammatory bowel disease in his father and one of his siblings. He immigrated from Ecuador 3 years ago. His body mass index is 15 kg/m2. His vital signs are normal. He has tenderness in the left lower quadrant of the abdomen. Laboratory test results are WBC count 7000/mm3, hemoglobin 6.4 g/dL, serum iron 18 ¼g/dL, total iron binding capacity 44 ¼g/dL, and ferritin 123 ¼g/L. The stool culture is negative for Clostridioides difficile infection. A chest x-ray reveals a solitary calcification in the right upper lobe. An abdominal CT demonstrates diffuse large bowel wall thickening with necrotic lymph nodes. A polymerase chain reaction assay from an induced sputum sample is positive for Mycobacterium tuberculosis. Which of the following associated features differentiates it from Crohn disease?
###Options:
A.  A low serum C-reactive protein level
B.  Normal serum albumin level
C.  Circumferential ulcers with caseating granulomas
D.  Anemia
E.  None

###Answer:",Realated To Gender
"Question: A 65-year-old man presents via EMS with injuries sustained in a motor vehicle collision. EMS personnel reported that he was unrestrained and was ejected from his vehicle. On physical examination, he is somnolent and cannot adequately provide a history or answer questions. Clear fluid is draining from his nostrils. A non-contrast head CT reveals a fracture of the skull base. Which of the following is a function of cerebrospinal fluid?
###Options:
A.  Protect the brain
B.  Improve sleep
C.  Maintain the blood-brain barrier
D.  Slow neurotransmission
E.  fast neurotransmission

###Answer:",Realated To Gender
"Question: A 3-year-old boy is brought to the clinic by concerned parents for a history of a chronic cough. His medical history is significant for meconium ileus as a neonate. Vital signs are normal. The examination demonstrates bilateral crackles on auscultation of the chest and early stages of digital clubbing. Given the likely diagnosis, which comorbid condition is expected in this child?
###Options:
A.  Vitamin C deficiency
B.  Vitamin A deficiency
C.  Sickle cell anemia
D.  Thiamine deficiency
E.  Niacin deficiency

###Answer:",Realated To Gender
"Question: A 29-year-old woman complains of a 1-week history of weakness and malaise, she has recently become a vegetarian and eats mostly green vegetables and drinks lots of tea during the day. She is apyrexial and has a C-reactive protein (CRP) <5. You suspect an abnormality of the patients iron stores. What is the most appropriate investigation to determine iron store levels?
###Options:
A.  Bone marrow biopsy
B.  Serum ferritin
C.  Serum transferrin
D.  Total iron binding capacity
E.  Serum iron

###Answer:",Realated To Gender
"Question: A 70-year-old woman with a history of hypertension and heart failure presents to clinic with signs of worsening heart failure, including increased shortness of breath and fatigue. She is currently on a regimen of an ACE inhibitor, a beta-blocker, and a diuretic. What is the next step in management?
###Options:
A.  Add a nitrate
B.  Refer for cardiac resynchronization therapy
C.  Add aldosterone antagonist
D.  Increase the dose of diuretic
E.  Add a phosphodiesterase-5 inhibitor

###Answer:",Realated To Gender
"Question: A 16-year-old girl presents to her GP complaining of a swelling in her neck which she has noticed in the last 2 weeks. She has felt more irritable although this is often transient. On examination, a diffuse swelling is palpated with no bruit on auscultation. The most likely diagnosis is:
###Options:
A.  Hyperthyroidism
B.  Simple goitre
C.  Riedels thyroiditis
D.  Thyroid carcinoma
E.  Thyroid cyst

###Answer:",Realated To Gender
"Question: A 72-year-old man is evaluated for decreased central vision, poor night vision, and floaters. The patient has a 20-year history of type 2 diabetes mellitus controlled with oral medications, a 20-pack-year smoking history, and hypertension. The patient has not had an eye examination in over 5 years but was told at that time that he had some early changes in his eyes due to diabetes. On physical examination, the blood pressure is 135/89 mm Hg. The ophthalmoscopic examination shows microaneurysms, cotton-wool spots, dilated retinal vessels, and new formation of retinal vessels. Neurologic evaluation is remarkable for decreased sensation in the lower extremities. Laboratory studies include a hemoglobin A1C of 7.9% and a fasting plasma glucose level of 160 mg/dL (8.88 mmol/L). Which of the following is the most appropriate next step in the treatment of this patient's vision?
###Options:
A.  Daily aspirin
B.  Enalapril
C.  Laser photocoagulation
D.  Vitrectomy
E.  Insulin

###Answer:",Realated To Gender
"Question: A 19-year-old woman presents to establish village primary care center where you are the primary physician. A review of systems is noncontributory. She has no significant past medical and family history. The patient is up to date with all her vaccinations. She asks you if she needs a Pap test at this visit. When should a woman have her first Pap smear?
###Options:
A.  When she is sexually active.
B.  At 16
C.  At 21
D.  At postmenopause
E.  At menarche

###Answer:",Realated To Gender
"Question: A 65-year-old man presents to the emergency department with palpitations and syncope. The client has a past medical history significant for hypertension, ischemic heart disease, and diabetes mellitus. An electrocardiogram (ECG) is performed, which is shown in the figure. Which of the following is the most likely diagnosis?

###Options:
A.  First-degree heart block
B.  Second-degree heart block
C.  Third-degree heart block
D.  Sinus bradycardia
E.  Sinus tachycardia

###Answer:",Realated To Gender
"Question: A 22-year-old woman is evaluated during a routine evaluation. She has no medical problems except for feeling tired all the time, which she attributes to working part-time while attending classes full-time and her many social activities. She denies depression, anhedonia, or constipation, and, although she has not gained weight, she has not lost any weight despite being on a diet for years. She has occasional heartburn, particularly after alcohol consumption, which she successfully self-treats two to three times per week with calcium carbonate, 500 mg. She admits to occasional binge drinking, once or twice yearly, but her CAGE score is 0/4. She smokes because it helps her to control her weight. On physical examination, she is slightly overweight, with a BMI of 27. Her heart rate is 68/min and her blood pressure is 188/62 mm Hg. The oropharynx is remarkable for an excoriation at the back of the throat and mild bilateral parotid gland swelling. The remainder of the physical examination is normal. Complete blood count and serum thyroid-stimulating hormone level are unremarkable. Serum electrolytes are notable for mildly decreased serum potassium, slightly elevated serum bicarbonate, and mildly decreased serum chloride levels. The serum creatinine/blood urea nitrogen levels, liver chemistry tests, and urinalysis are unremarkable. Which of the following is the most likely diagnosis?
###Options:
A.  Bulimia nervosa
B.  Anorexia nervosa
C.  Primary aldosteronism
D.  Surreptitious diuretic ingestion
E.  Renal tubular acidosis

###Answer:",Realated To Gender
"Question: A fit active young man presentssuddenly with cough, expectorationof clear fluid, fever, chest pain andoccasional haemoptysis. His chestx-ray shows a rounded cystic lesionand another rounded lesion withair in it (Figure 6.5). Which of thefollowing are true of this condition.
###Options:
A.  A Air is introduced as the lesion erodes into the bronchiole, giving rise to a fine radiolucent shadow.
B.  B This x-ray finding is called the meniscus sign or crescent sign.
C.  C Pulmonary hydatid disease never presents with pleural effusion.
D.  D The water-lily sign on CT scan of the chest indicates inactive disease (Figure 6.6).
E.  E Surgery is the mainstay of hydatid disease of the lungs.

###Answer:",Realated To Gender
"Question: A 4-year-old boy presents for a routine checkup. He is asymptomatic, and his mother has no specific concerns about her son's health. The family lives in a house that was built in 1929 and is currently undergoing renovation. Vital Signs are heart rate 100 bpm, respiratory rate 30 breaths/min, temperature 98.6° F (37° C), and blood pressure 86/66 mm Hg. Physical examination is notable for marked pallor. A complete blood count reveals a hemoglobin level of 8.6 g/dL. Peripheral blood smear reveals microcytic, hypochromic RBCs with basophilic stippling. Which of the following complications is this patient likely to experience?
###Options:
A.  Leukemia
B.  Cognitive deficits
C.  Pathological fractures
D.  Abdominal bleeding
E.  Fainting episodes

###Answer:",Realated To Gender
"Question: A 72-year-old woman presents via EMS after being found on the floor at home by a friend who was checking on her. On initial assessment, the patient is tachycardic and hypotensive and is on supplemental oxygen via nasal cannula at 5 L/min. On physical examination, she is moaning and uncomfortable, non-verbal, but opens her eyes to command and moves all extremities, palpation reveals abdominal tenderness and ecchymosis around the umbilicus. Which of the following conditions is associated with periumbilical ecchymosis?
###Options:
A.  Pancreatitis
B.  Cholecystitis
C.  Nephrolithiasis
D.  Appendicitis
E.  Cystitis

###Answer:",Realated To Gender
"Question: A 58-year-old woman is noted to have bilateral adnexal masses on
physical examination. Which of the following is most suggestive of
these adnexal masses being malignant?
###Options:
A.  The presence of ascites
B.  CT imaging revealing that they are primarily cystic.
C.  A Family history of lung cancer
D.  Elevation of the serum alkaline phosphatase level

###Answer:",Realated To Gender
"Question: A 40 year old male is diagnosed with DVT of the right femoral vein. He was diagnosed with SLE 3 months ago and on this visit his lupus anticoagulant is positive. How long should he receive anticoagulants with Warfarin?
###Options:
A.  3 months
B.  1 year
C.  6 months
D.  Long term
E.  6 weeks

###Answer:",Realated To Gender
"Question: A 27 year old man presents to A&E. He is clearly uncomfortable and he gestures to his chest as if to suggest pain. He has a history of imprisonment for the supply for opiates. On examination, he is visibly sweaty. He has some painful nodules on his hands. There are no dark streaks beneath the fingernails. Examination of the retina is completely unremarkable. He has some bruising and track marks in his antecubital fossa. His blood pressure is 100/70 and his heart rate is 120 bpm. His respiratory rate is 25/minute and his oxygen saturations are 96% on room air. He is currently slightly confused but manages to suggest that he passed some blood in his urine when he last visited the toilet. His tympanic temperature is 38.3 degrees Celsius. His ECG shows the presence of normal P waves and narrow QRS complexes. T waves are present and uninverted. There is unconvincing evidence of ST depression or elevation in any contiguous leads. Initial blood tests show the following: Hb: 130 g/L White Cells: 24 x109 /L Platelets: 400 x109/L CRP: >5 ESR: within normal limits What is the next most appropriate investigation?
###Options:
A.  Blood cultures
B.  Transoesophageal echocardiogram
C.  Urea and electrolytes
D.  sputum culture
E.  urine culture

###Answer:",Realated To Gender
"Question: A 45-year-old man who has a history of chronic gastritis presents to his primary care physician with complaints of persistent stomach pain. A follow-up endoscopy reveals peptic ulcers. The patient is prescribed an ulcer healing drug that reduces gastric acid secretion by blocking the enzyme responsible for the final step in the production of gastric acid. Which enzyme does this drug inhibit?
###Options:
A.  carbonic anhydrase
B.  Pepsin
C.  H+/K+ ATPase
D.  Lipase
E.  Proton pump

###Answer:",Realated To Gender
"Question: A 74-year-old woman with a history of coronary artery disease is brought to the emergency department 30 minutes afterthe sudden onset of crushing chest pain. Her pulse is 120/min, and systolic blood pressure is 70 mm Hg. An ECG showssinus rhythm with ST elevation in leads V1 through V3. The physician plans to administer a drug to increase the patient'sblood pressure without increasing her pulse. Which of the following drugs is most appropriate for this patient?
###Options:
A.  Dopamine
B.  Epinephrine
C.  Isoproterenol
D.  Norepinephrine
E.  Phenylephrine

###Answer:",Realated To Gender
"Question: A 62-year-old man with a prosthetic aortic valve develops fevers and malaise. His valve was replaced 5 years ago because of aortic stenosis from a bicuspid valve. He has a systolic ejection murmur but no other abnormalities on examination. Blood cultures are most likely to grow which of the following?
###Options:
A.  Fungi
B.  Bartonella
C.  Diptheroid
D.  Staphlococcus epidermidis
E.  Streptococcus bovis

###Answer:",Realated To Gender
"Question: 
Of the following, which is the most likely cause of hemodynamically
significant lower gastrointestinal bleeding in a 6-month-old male child?


###Options:
A.  Meckel diverticulum
B.  Henoch-Schonlein purpura
C.  Intussusception
D.  Crohns colitis
E.  Hemolytic uremic syndrome

###Answer:",Realated To Gender
"Question: A 67-year-old woman presents with episodes of severe breathlessness that wake her up at night and tiredness after climbing a few steps. Physical examination shows increased jugular venous pressure, bilateral rales, and pedal edema. The provider prescribes a loading dose of digoxin 0.5 mg orally in divided dosages over 24 hours. What is the most common and earliest adverse reaction to digoxin?
###Options:
A.  Paresthesia
B.  Nausea and anorexia
C.  bradycardia
D.  Dry eyes
E.  Dizziness and vertigo

###Answer:",Realated To Gender
"Question: A 45-year-old woman presents to the emergency department with severe shortness of breath. Chest X-ray reveals an extensive area of consolidation in her left lung and she is diagnosed with pneumonia. The hospital lab obtains sputum sample for gram staining and culture. Preliminary microscopy shows encapsulated, lancet-shaped, gram-positive diplococci. Which is the most likely causative organism?
###Options:
A.  Klebsiella pneumoniae
B.  Streptococcus pneumoniae
C.  Haemophilus influenzae
D.  Staphylococcus aureus
E.  Pseudomonas Aeruginosa

###Answer:",Realated To Gender
"Question: Following an upper respiratory tract infection, an 8-year-old boy experiences abdominal pain along with palpable purpura affecting his buttocks and shins. Additionally, there are small quantities of petechiae present. His mother further notes the passage of red urine. The most likely explanation of the purpura is:
###Options:
A.  Autoimmune thrombocytopenic purpura
B.  HenochSchönlein purpura
C.  Disseminated intravascular coagulation
D.  Post-infection thrombocytopenic purpura
E.  Cryoglobulinaemia

###Answer:",Realated To Gender
"Question: A 75-year-old woman is referred for assessment of her mental state. Her carer
states that she noticed general decline in her physical and mental state. She
is forgetful and her concentration is poor. Sometimes her speech is
incoherent. She trips frequently and had many falls. On rare occasions she
has imagined seeing people sitting in her room. Each of the following
features would help to distinguish between organic and functional disorders,
except.
###Options:
A.  Nystagmus
B.  visual hallucination
C.  Poor perfomance of the serial of sevens test
D.  Dysphagia
E.  Hemianopia

###Answer:",Realated To Gender
"Question:  
A 17-year-old girl is seen at a local clinic desiring contraception because she thinks she will soon become sexually active. During her examination, an ulcerative lesion is seen in the vaginal fornix. It has a rolled, irregular edge with a reddish-appearing granular base. The lesion is mildly tender to palpation. This lesion is most likely which of the following?
###Options:
A.  Vaginal intraepithelial neoplasia
B.  Vulvar carcinoma
C.  Syphilis
D.  An ulcer caused by the use of tampons
E.  Genital herpes

###Answer:",Realated To Gender
"Question: A 30-year-old woman at 32 weeks of gestation presents with complaints of vaginal bleeding and severe lower abdominal pain for the past 30 minutes. Her blood pressure is 95/55 mmHg, heart rate 110/min, and respiratory rate 25/min. On examination, tenderness is noted on deep palpation of the lower abdomen. Laboratory evaluation reveals prolonged prothrombin time, activated partial thromboplastin time, and a platelet count of 70,000 cells/microL. Which of the following should be administered to the patient?
###Options:
A.  Fresh frozen plasma
B.  whole blood
C.  platelet concentrate
D.  Packed red blood cells
E.  serum

###Answer:",Realated To Gender
"Question: A 42-year-old female with a history of empty sella presents to the endocrinology clinic for follow-up. Early last year, she had presented to the emergency department with a severe worsening headache and blurred vision, and during her workup, a computed tomography (CT) of the head was obtained, revealing empty sella syndrome. The patient does not know much about the diagnosis of empty sella and inquires several questions from the provider seeing her. What is the most common presentation of empty sella syndrome?
###Options:
A.  Headache
B.  Blurry vision
C.  Galactorrhea
D.  No symptoms
E.  sleepiness

###Answer:",Realated To Gender
"Question: A 17-year-old woman presents in a confused state after ingesting a bottle of painkillers. Vital signs are heart rate 95 bpm, blood pressure 110/65 mm Hg, respiratory rate 25 breaths/min, and temperature 100° F (37.6° C). Which of the following can be seen with this condition?
###Options:
A.  Metabolic alkalosis
B.  Decreased creatinine levels
C.  Raised Lactate level
D.  Decreased calcium levels
E.  Reduced Lactate level

###Answer:",Realated To Gender
"Question: A 34-year-old man presents with a 3-day history of nasal congestion, sore throat, slight yellowing of his skin, and loss of appetite. His symptoms developed after returning from a hiking trip to Colorado. Vital signs are temperature 98.6 F (37 C), blood pressure 110/87 mmHg, heart rate 98 bpm, respiratory rate 17 breaths/min, and oxygen saturation 99% on ambient air. Physical examination demonstrates mild jaundice and normal cardiopulmonary auscultation and is negative for hepatosplenomegaly, ascites, or peripheral stigmata of chronic liver disease. Lab values are as follows: total bilirubin 2.1 mg/dL, direct bilirubin 0.1 mg/dL, LDH 120 U/L, ALT 20 U/L, AST 15 U/L, and alkaline phosphatase 110 U/L. Hemoglobin is 16 g/dL, reticulocyte count 1%, and haptoglobin 125 mg/dL. Given the likely diagnosis, what is the pathogenesis of this patient's condition?
###Options:
A.  Reduced hepatic uptake of unconjugated bilirubin
B.  Reduced copper excretion
C.  Iron overload
D.  Inflammation secondary to autoimmune liver disease
E.  copper overload

###Answer:",Realated To Gender
"Question: You are the F2 in general practice when a 27 year old female comes in after having had a routine Papanicolaou (Pap) smear testing for cervical dysplasia. Before you see her you look at the pathology report which indicates a cervical intraepithelial neoplasia (CIN) 2 lesion. The pathology report also indicates that the lesion is human papillomavirus (HPV) positive. Which of these serotypes is most likely to cause cervical dysplasia?
###Options:
A.  HPV-6
B.  HPV-11
C.  HPV-16
D.  HPV-53
E.  HPV-58

###Answer:",Realated To Gender
"Question: A 30-year-old woman with a history of pernicious anemia is being investigated for unexplained raised transaminases (serum aspartate aminotransferase [AST] and alanine aminotransferase [ALT]). She later develops a fever, malaise, puritis and amenorrhoea. A liver screenis requested. Which of the following is most likely to be found?
###Options:
A.  Viral hepatitis
B.  Positive anti-smooth muscle antibody
C.  Raised IgM
D.  Raised alpha-fetoprotein
E.  Raised ferritin

###Answer:",Realated To Gender
